iter	Passed	Remaining
400	25194	37635
401	25253	37566
402	25316	37504
403	25386	37450
404	25451	37391
405	25511	37325
406	25571	37258
407	25635	37196
408	25696	37131
409	25757	37065
410	25817	36998
411	25878	36933
412	25939	36868
413	26000	36802
414	26058	36732
415	26152	36713
416	26261	36715
417	26322	36649
418	26381	36582
419	26440	36513
420	26497	36442
421	26557	36375
422	26618	36309
423	26676	36239
424	26735	36171
425	26790	36098
426	26852	36033
427	26907	35960
428	26964	35890
429	27026	35825
430	27088	35761
431	27147	35693
432	27201	35618
433	27259	35550
434	27324	35490
435	27385	35425
436	27443	35355
437	27502	35289
438	27563	35223
439	27620	35152
440	27675	35081
441	27731	35009
442	27788	34939
443	27849	34874
444	27905	34803
445	27970	34743
446	28026	34672
447	28082	34601
448	28138	34531
449	28196	34462
450	28250	34389
451	28307	34319
452	28366	34252
453	28427	34188
454	28487	34122
455	28544	34052
456	28599	33981
457	28653	33908
458	28715	33846
459	28773	33777
460	28832	33711
461	28894	33647
462	28955	33582
463	29011	33513
464	29067	33443
465	29123	33373
466	29183	33308
467	29242	33241
468	29301	33174
469	29365	33114
470	29416	33039
471	29476	32973
472	29533	32905
473	29589	32835
474	29653	32774
475	29708	32704
476	29781	32653
477	29843	32591
478	29907	32529
479	29962	32459
480	30021	32393
481	30072	32318
482	30135	32256
483	30189	32185
484	30248	32119
485	30322	32069
486	30384	32006
487	30441	31938
488	30492	31864
489	30546	31793
490	30597	31719
491	30653	31650
492	30697	31569
493	30754	31501
494	30811	31434
495	30889	31387
496	30941	31315
497	30996	31245
498	31059	31183
499	31115	31115
500	31162	31038
501	31215	30966
502	31277	30904
503	31338	30840
504	31390	30768
505	31432	30687
506	31489	30619
507	31547	30554
508	31601	30484
509	31661	30419
510	31716	30351
511	31768	30279
512	31817	30204
513	31872	30136
514	31941	30080
515	32010	30025
516	32064	29956
517	32121	29888
518	32179	29823
519	32228	29749
520	32282	29680
521	32332	29607
522	32385	29537
523	32445	29473
524	32501	29406
525	32556	29337
526	32613	29271
527	32664	29200
528	32716	29129
529	32767	29057
530	32817	28985
531	32875	28920
532	32925	28848
533	32978	28779
534	33032	28710
535	33099	28652
536	33159	28589
537	33211	28520
538	33267	28452
539	33323	28386
540	33378	28319
541	33432	28250
542	33483	28180
543	33529	28105
544	33577	28032
545	33627	27961
546	33680	27892
547	33737	27827
548	33790	27758
549	33839	27687
550	33893	27619
551	33943	27548
552	34053	27525
553	34127	27474
554	34185	27410
555	34237	27340
556	34299	27279
557	34368	27224
558	34425	27158
559	34471	27084
560	34530	27021
561	34594	26961
562	34658	26901
563	34715	26836
564	34772	26771
565	34827	26704
566	34887	26642
567	34940	26574
568	34991	26505
569	35042	26435
570	35096	26368
571	35151	26302
572	35206	26236
573	35255	26165
574	35310	26099
575	35364	26032
576	35421	25967
577	35473	25899
578	35525	25830
579	35581	25765
580	35636	25699
581	35700	25640
582	35763	25580
583	35812	25510
584	35867	25444
585	35919	25376
586	35969	25307
587	36020	25239
588	36069	25169
589	36126	25104
590	36189	25044
591	36255	24987
592	36308	24920
593	36364	24855
594	36408	24782
595	36464	24717
596	36522	24654
597	36574	24586
598	36631	24522
599	36683	24455
600	36735	24388
601	36791	24323
602	36839	24254
603	36898	24191
604	36947	24122
605	36999	24055
606	37048	23987
607	37105	23923
608	37157	23856
609	37209	23789
610	37262	23723
611	37316	23657
612	37368	23591
613	37418	23523
614	37475	23459
615	37525	23392
616	37575	23325
617	37629	23259
618	37682	23193
619	37733	23127
620	37787	23061
621	37841	22997
622	37895	22931
623	37947	22865
624	37999	22799
625	38052	22733
626	38102	22666
627	38155	22601
628	38203	22533
629	38252	22465
630	38303	22399
631	38355	22333
632	38406	22267
633	38455	22200
634	38509	22135
635	38563	22071
636	38618	22007
637	38670	21941
638	38719	21874
639	38769	21807
640	38823	21743
641	38872	21676
642	38921	21609
643	38974	21544
644	39024	21478
645	39074	21412
646	39124	21346
647	39177	21281
648	39232	21218
649	39282	21151
650	39334	21087
651	39444	21053
652	39509	20995
653	39561	20930
