iter	Logloss
0	0.5104778115
1	0.4115745289
2	0.3571002186
3	0.3193256576
4	0.2989307024
5	0.2819136483
6	0.2700408549
7	0.2616478787
8	0.2539762218
9	0.2397557096
10	0.2344918855
11	0.2309821009
12	0.2240913135
13	0.2189231955
14	0.2156566236
15	0.2119821487
16	0.2099277837
17	0.2075416155
18	0.2053453508
19	0.2032999458
20	0.201633908
21	0.1995399494
22	0.1975696749
23	0.1962723331
24	0.1946921786
25	0.1935253558
26	0.1920648154
27	0.1907479337
28	0.1885144991
29	0.1874657812
30	0.186488367
31	0.1857657324
32	0.1849363229
33	0.1839788108
34	0.1831499863
35	0.1823663725
36	0.1817053186
37	0.1802044045
38	0.1793016377
39	0.1788487158
40	0.1777485434
41	0.1771435235
42	0.1763663861
43	0.1758808483
44	0.1751743524
45	0.1745354142
46	0.1728460691
47	0.171840747
48	0.1711060253
49	0.1705820315
50	0.170024933
51	0.1695052743
52	0.1689454381
53	0.1685233504
54	0.1680139532
55	0.1676050623
56	0.167354676
57	0.1667605051
58	0.1664660084
59	0.1661765159
60	0.1658714297
61	0.1654553902
62	0.1651274894
63	0.1648231569
64	0.1643367877
65	0.1640313374
66	0.1636314434
67	0.163200956
68	0.1626538517
69	0.1623539494
70	0.1620466221
71	0.1616978022
72	0.1612089639
73	0.1609477362
74	0.1603569688
75	0.1600760728
76	0.1598406734
77	0.1595728276
78	0.1593439495
79	0.1591029119
80	0.1587521568
81	0.1584667828
82	0.1580339435
83	0.1577073176
84	0.1575335136
85	0.1572823142
86	0.1568035437
87	0.1565479005
88	0.1562772501
89	0.1560317435
90	0.1558257281
91	0.155584693
92	0.1553957645
93	0.1551614428
94	0.1549880961
95	0.1547116709
96	0.1544943158
97	0.1542579432
98	0.1541200734
99	0.153912387
100	0.1537479897
101	0.1535950803
102	0.1533551373
103	0.1531612671
104	0.153044097
105	0.1528874088
106	0.152685409
107	0.1524359456
108	0.1522540384
109	0.1521332038
110	0.1519723005
111	0.1518069174
112	0.1516206686
113	0.1514471673
114	0.1510706825
115	0.1508881976
116	0.1506846203
117	0.1505601934
118	0.150378252
119	0.1502580972
120	0.1500953037
121	0.1499414785
122	0.1498089736
123	0.1496182152
124	0.1493907437
125	0.1492611776
126	0.149169627
127	0.1490027595
128	0.148553954
129	0.1484019704
130	0.1481100479
131	0.1479444419
132	0.1476368616
133	0.1475085712
134	0.1473780583
135	0.1472174889
136	0.1469440116
137	0.1467993358
138	0.1466596735
139	0.1464829137
140	0.1463592764
141	0.1462675138
142	0.1461288621
143	0.1460223492
144	0.1459193932
145	0.1458378825
146	0.1456981439
147	0.1455485415
148	0.1454341427
149	0.1453138888
150	0.1452286034
151	0.1450962237
152	0.1449647142
153	0.144812532
154	0.1446983756
155	0.1445667961
156	0.1444628054
157	0.1443385447
158	0.1440556412
159	0.1439545107
160	0.1437667383
161	0.1436778988
162	0.1436134871
163	0.143525242
164	0.1434653994
165	0.1433634613
166	0.1432753261
167	0.1431714734
168	0.1431044043
169	0.1430222897
170	0.1428862592
171	0.1427806897
172	0.1427272709
173	0.1426332813
174	0.1424730216
175	0.1423826937
176	0.1423122032
177	0.1421650111
178	0.1420836895
179	0.1419999501
180	0.1419375306
181	0.1418449164
182	0.1417634968
183	0.1416578597
184	0.1415523528
185	0.1414803473
186	0.1413607455
187	0.1413092327
188	0.1412236818
189	0.141064601
190	0.1409419019
191	0.140867184
192	0.1408132583
193	0.1407451221
194	0.1406598333
195	0.1405863899
196	0.1404781232
197	0.1403703531
198	0.1402864389
199	0.1402360572
200	0.1401580855
201	0.1400622259
202	0.1399759244
203	0.1399160216
204	0.1398537832
205	0.1397428525
206	0.1396188558
207	0.1395623337
208	0.1395127812
209	0.1394240125
210	0.1393461981
211	0.1392108511
212	0.1391400638
213	0.1390617209
214	0.1390153764
215	0.1389326584
216	0.1388725984
217	0.1388062559
218	0.138745773
219	0.1386978863
220	0.1386634385
221	0.1386007373
222	0.1385093145
223	0.1384502058
224	0.1383780152
225	0.1382662648
226	0.1382067224
227	0.1381379841
228	0.1380945539
229	0.138011972
230	0.137937743
231	0.1378417216
232	0.13777797
233	0.1376919919
