iter	Logloss
0	0.328357922
1	0.2635510928
2	0.2320733557
3	0.2134710249
4	0.2030407249
5	0.1922737195
6	0.1887898033
7	0.1835335794
8	0.1801729402
9	0.1778614056
10	0.1739913946
11	0.1715474452
12	0.1699762711
13	0.1660927207
14	0.1645822539
15	0.1632392854
16	0.1621944288
17	0.1609604977
18	0.1585369049
19	0.1571287811
20	0.1554782176
21	0.1547073412
22	0.1537924187
23	0.1528577358
24	0.1519703836
25	0.1511805463
26	0.1506710447
27	0.1499457368
28	0.1492042937
29	0.1486522647
30	0.14810827
31	0.1473897383
32	0.1467056135
33	0.1458635868
34	0.1455461891
35	0.1451620435
36	0.1446065127
37	0.1442228226
38	0.1436480704
39	0.1429859366
40	0.1425521609
41	0.1419715862
42	0.141590366
43	0.1412177805
44	0.1408891361
45	0.1405589041
46	0.1402014046
47	0.1396813281
48	0.1390613718
49	0.1387099048
50	0.1383968252
51	0.1380832839
52	0.1377759692
53	0.1375548718
54	0.1372207874
55	0.1368336147
56	0.1365447041
57	0.1363406856
58	0.1360865745
59	0.1359024198
60	0.135732388
61	0.1355648922
62	0.1353628486
63	0.1351413104
64	0.1348883292
65	0.134701118
66	0.1344847089
67	0.1342987692
68	0.1341544834
69	0.1339168408
70	0.1337629561
71	0.1336094994
72	0.1334164396
73	0.1332382344
74	0.1330020274
75	0.132812804
76	0.1326605472
77	0.1324255555
78	0.1322497972
79	0.1320719301
80	0.1318044153
81	0.131589881
82	0.131340307
83	0.1306930623
84	0.1305410332
85	0.1303515175
86	0.13024055
87	0.1301305578
88	0.1299914177
89	0.1298992467
90	0.1297881897
91	0.1297061592
92	0.1295633077
93	0.1294792044
94	0.1293219569
95	0.1291964464
96	0.1289958408
97	0.1287919584
98	0.1286941319
99	0.1285841818
100	0.1284320723
101	0.1283019232
102	0.1281059603
103	0.1279576526
104	0.1278253272
105	0.1277247952
106	0.1275927289
107	0.1274795985
108	0.1274173169
109	0.1273392565
110	0.1272516385
111	0.1271017402
112	0.1269325791
113	0.1268193436
114	0.1267133782
115	0.1266722334
116	0.126543676
117	0.1264470738
118	0.1263967964
119	0.1262905605
120	0.1261848394
121	0.1260576735
122	0.1259284539
123	0.1257459076
124	0.1255951371
125	0.1254864046
126	0.1254203152
127	0.1253147634
128	0.1251564867
129	0.1250850077
130	0.1250394288
131	0.1249404652
132	0.1248326356
133	0.1247602241
134	0.1246967962
135	0.1246059377
136	0.1245207893
137	0.1244456654
138	0.1243292441
139	0.1242343908
140	0.1241570824
141	0.1240994647
142	0.1240480985
143	0.1239274153
144	0.1238303103
145	0.1237630574
146	0.123609412
147	0.1235188434
148	0.1234238723
149	0.1233772662
150	0.1233023925
151	0.1232078377
152	0.1231586208
153	0.12307172
154	0.12301198
155	0.1228919047
156	0.1228552815
157	0.1227425146
158	0.1226420135
159	0.122539492
160	0.1224615711
161	0.1223577471
162	0.1222705676
163	0.1221768754
164	0.1220727927
165	0.1220255374
166	0.1219634344
167	0.1219035618
168	0.1217952866
169	0.1217330296
170	0.1216768968
171	0.1215564361
172	0.1214855351
173	0.1214464464
174	0.1213912813
175	0.1212811242
176	0.1212085275
177	0.1211332613
178	0.1209955859
179	0.1209247827
180	0.1208555759
181	0.1207825351
182	0.1207288957
183	0.1206640495
184	0.1205847953
185	0.1205357953
186	0.1204403302
187	0.120354849
188	0.1202602774
189	0.1201795094
190	0.1201492722
191	0.1200982626
192	0.1200314379
193	0.1199692088
194	0.1198822346
195	0.1198020809
196	0.119788324
197	0.1197122826
198	0.1196380557
199	0.1195712063
200	0.1195156832
201	0.1194732431
202	0.1193849362
203	0.1193069775
204	0.1192376123
205	0.1191872756
206	0.1191100606
207	0.1190544094
208	0.1189863162
209	0.1189469739
210	0.1188919216
211	0.1188140775
212	0.1187680393
213	0.1187588864
214	0.1187079501
215	0.1186538713
216	0.1185669416
217	0.118525416
218	0.1184647914
219	0.1183883927
220	0.1183536875
221	0.118275865
222	0.1182193937
223	0.118178094
224	0.1181027341
225	0.1180358859
226	0.1179649992
227	0.117939996
228	0.1178875532
229	0.1177928115
230	0.1177377794
231	0.1177164991
232	0.1176768148
233	0.1175873802
234	0.1175294204
235	0.1174723585
236	0.1174222487
237	0.1173256216
238	0.1172162741
239	0.1171586945
240	0.1170772593
241	0.1169974089
242	0.1169358605
243	0.1168738485
244	0.1167955495
245	0.1167533522
246	0.1167198716
247	0.1166711262
248	0.1166513029
249	0.1165740972
250	0.1165261902
251	0.1165174449
252	0.1164867306
253	0.1164379836
254	0.1163921372
255	0.1163172313
256	0.1162785572
257	0.1162469996
258	0.1161894461
259	0.1161148466
260	0.1160539457
261	0.115989324
262	0.1159553906
263	0.115911878
264	0.1158220478
265	0.1157579584
266	0.1156691607
267	0.1155983687
268	0.1155465087
269	0.1155107362
270	0.1154671082
271	0.1154231674
272	0.1153776457
273	0.1153340766
274	0.1152984558
275	0.1152160377
276	0.1151894367
277	0.1151386032
278	0.1151020699
279	0.1150695421
280	0.1150232311
281	0.1149701038
282	0.1149157967
283	0.1148746314
284	0.1148466555
285	0.1148023955
286	0.114761508
287	0.1147419032
288	0.1146873486
289	0.1146305436
290	0.1146025602
291	0.114558485
292	0.1144986437
293	0.1144660298
294	0.1144317389
295	0.1143919978
296	0.1143394083
297	0.114288864
298	0.1142489664
299	0.114210055
